Location,Duration (min),Time interval,Heuristics,Cuts,MIPFocus,AggFill,Obj (min),Time (s)
BDL-DHY,30,11:30-12:00,0.005,-1,0,1,101,11.798
BDL-DHY,30,11:30-12:00,0.0001,1,0,1,101,11.844
BDL-DHY,30,12:00-12:30,0.005,0,1,100,37,5.137
BDL-DHY,30,12:00-12:30,0.01,0,0,100,37,5.518
BDL-DHY,30,12:00-12:30,0.0001,-1,0,100,37,6.451
BDL-DHY,30,12:00-12:30,0.0005,1,0,1000,37,6.518
BDL-DHY,30,12:00-12:30,0.01,-1,1,1000,37,6.84
BDL-DHY,30,12:00-12:30,0.001,0,0,1,37,7.102
BDL-DHY,30,12:00-12:30,0.05,0,0,-1,37,7.51
BDL-DHY,30,12:00-12:30,0.05,0,0,0,37,7.555
BDL-DHY,30,12:30-13:00,0.0001,0,1,100,62,4.595
BDL-DHY,30,12:30-13:00,0.005,0,0,100,62,4.597
BDL-DHY,30,12:30-13:00,0.0005,1,0,1000,62,4.84
BDL-DHY,30,12:30-13:00,0.005,1,1,1000,62,4.853
BDL-DHY,30,12:30-13:00,0.005,-1,0,100,62,4.863
BDL-DHY,30,12:30-13:00,0.01,-1,0,100,62,4.997
BDL-DHY,30,12:30-13:00,0.0001,2,1,100,62,5.3
BDL-DHY,30,12:30-13:00,0.0001,2,1,100,62,5.306
BDL-DHY,30,13:00-13:30,0.0001,0,0,100,44,4.854
BDL-DHY,30,13:00-13:30,0.0005,0,1,1000,44,4.939
BDL-DHY,30,13:00-13:30,0.001,0,1,10,44,5.469
BDL-DHY,30,13:00-13:30,0.01,0,0,10,44,5.546
BDL-DHY,30,13:00-13:30,0.005,0,0,-1,44,5.631
BDL-DHY,30,13:00-13:30,0.0001,0,0,-1,44,5.658
BDL-DHY,30,13:00-13:30,0.001,0,1,-1,44,5.658
BDL-DHY,30,13:00-13:30,0.0005,0,1,-1,44,5.663
BDL-DHY,30,13:30-14:00,0.001,2,0,100,26,3.086
BDL-DHY,30,13:30-14:00,0.001,2,1,1000,26,3.11
BDL-DHY,30,13:30-14:00,0.0005,2,1,100,26,3.125
BDL-DHY,30,13:30-14:00,0.005,-1,1,100,26,3.126
BDL-DHY,30,13:30-14:00,0.005,1,0,100,26,3.132
BDL-DHY,30,13:30-14:00,0.01,0,0,100,26,3.234
BDL-DHY,30,13:30-14:00,0.01,1,0,1000,26,3.25
BDL-DHY,30,13:30-14:00,0.0005,3,0,1000,26,3.537
BDL-DHY,30,14:00-14:30,0.0005,0,0,1,83,4.17
BDL-DHY,30,14:00-14:30,0.0005,0,1,0,83,4.237
BDL-DHY,30,14:00-14:30,0.1,0,0,10,83,4.315
BDL-DHY,30,14:00-14:30,0.01,0,0,-1,83,4.345
BDL-DHY,30,14:00-14:30,0.1,0,1,0,83,4.506
BDL-DHY,30,14:00-14:30,0.05,0,1,1,83,4.516
BDL-DHY,30,14:00-14:30,0.1,0,1,-1,83,4.588
BDL-DHY,30,14:00-14:30,0.001,2,0,10,83,4.781
BDL-DHY,30,14:30-15:00,0.005,0,1,-1,82,3.923
BDL-DHY,30,14:30-15:00,0.001,0,0,0,82,3.965
BDL-DHY,30,14:30-15:00,0.0001,0,1,0,82,4.016
BDL-DHY,30,14:30-15:00,0.001,0,3,100,82,4.278
BDL-DHY,30,14:30-15:00,0.001,0,3,100,82,4.287
BDL-DHY,30,14:30-15:00,0.0005,0,1,10,82,4.334
BDL-DHY,30,14:30-15:00,0.005,0,3,1000,82,4.336
BDL-DHY,30,14:30-15:00,0.0005,2,0,-1,82,4.339
BDL-DHY,30,15:00-15:30,0.0001,0,0,1,101,3.337
BDL-DHY,30,15:00-15:30,0.0005,0,1,1,101,3.367
BDL-DHY,30,15:00-15:30,0.0001,0,1,1,101,3.396
BDL-DHY,30,15:00-15:30,0.001,0,1,100,101,3.467
BDL-DHY,30,15:00-15:30,0.0005,0,1,100,101,3.483
BDL-DHY,30,15:00-15:30,0.05,0,1,-1,101,3.653
BDL-DHY,30,15:00-15:30,0.05,0,1,-1,101,3.676
BDL-DHY,30,15:00-15:30,0.001,2,0,10,101,3.742
BDL-DHY,30,15:30-16:00,0.001,2,1,1000,12,1.809
BDL-DHY,30,15:30-16:00,0.005,1,0,1000,12,1.824
BDL-DHY,30,15:30-16:00,0.001,2,0,100,12,1.856
BDL-DHY,30,15:30-16:00,0.01,1,0,100,12,1.928
BDL-DHY,30,15:30-16:00,0.001,0,0,1000,12,1.933
BDL-DHY,30,15:30-16:00,0.01,2,1,1000,12,1.937
BDL-DHY,30,15:30-16:00,0.01,0,0,1000,12,1.977
BDL-DHY,30,15:30-16:00,0.0001,0,0,1000,12,1.979
BDL-DHY,30,16:00-16:30,0.005,0,0,0,57,1.794
BDL-DHY,30,16:00-16:30,0.0005,0,0,10,57,1.802
BDL-DHY,30,16:00-16:30,0.0001,0,1,0,57,1.829
BDL-DHY,30,16:00-16:30,0.005,0,1,0,57,1.854
BDL-DHY,30,16:00-16:30,0.005,0,0,1,57,1.896
BDL-DHY,30,16:00-16:30,0.1,0,1,0,57,2.109
BDL-DHY,30,16:00-16:30,0.5,0,1,-1,57,2.117
BDL-DHY,30,16:00-16:30,0.5,0,1,-1,57,2.118
BDL-DHY,30,07:00-07:30,0.0005,0,0,-1,9,14.091
BDL-DHY,30,07:00-07:30,0.0001,0,0,0,9,14.11
BDL-DHY,30,07:00-07:30,0.001,0,1,10,9,14.139
BDL-DHY,30,07:00-07:30,0.001,0,1,1,9,14.217
BDL-DHY,30,07:00-07:30,0.005,0,1,1000,9,14.784
BDL-DHY,30,07:00-07:30,0.0005,1,1,100,9,14.793
BDL-DHY,30,07:00-07:30,0.0005,0,0,100,9,14.808
BDL-DHY,30,07:00-07:30,0.01,0,1,1000,9,14.864
BDL-DHY,30,16:30-17:00,0.0001,0,0,100,54,1.386
BDL-DHY,30,16:30-17:00,0.0001,0,1,100,54,1.395
BDL-DHY,30,16:30-17:00,0.001,0,1,1000,54,1.396
BDL-DHY,30,16:30-17:00,0.001,0,0,100,54,1.425
BDL-DHY,30,16:30-17:00,0.0001,0,0,10,54,1.672
BDL-DHY,30,16:30-17:00,0.0005,2,1,100,54,1.726
BDL-DHY,30,16:30-17:00,0.005,1,1,100,54,1.728
BDL-DHY,30,16:30-17:00,0.0005,2,0,1000,54,1.74
BDL-DHY,30,17:00-17:30,0.005,0,0,100,32,1.225
BDL-DHY,30,17:00-17:30,0.0001,0,1,100,32,1.231
BDL-DHY,30,17:00-17:30,0.005,0,1,100,32,1.245
BDL-DHY,30,17:00-17:30,0.005,0,0,10,32,1.372
BDL-DHY,30,17:00-17:30,0.0001,1,1,100,32,1.395
BDL-DHY,30,17:00-17:30,0.005,-1,1,100,32,1.414
BDL-DHY,30,17:00-17:30,0.0001,-1,0,100,32,1.427
BDL-DHY,30,17:00-17:30,0.01,0,1,10,32,1.5
BDL-DHY,30,17:30-18:00,0.001,0,0,100,80,1.43
BDL-DHY,30,17:30-18:00,0.0001,0,0,10,80,1.562
BDL-DHY,30,17:30-18:00,0.0001,0,0,1,80,1.573
BDL-DHY,30,17:30-18:00,0.05,0,1,100,80,1.696
BDL-DHY,30,17:30-18:00,0.1,0,0,1000,80,1.729
BDL-DHY,30,17:30-18:00,0.005,-1,0,10,80,1.731
BDL-DHY,30,17:30-18:00,0.0001,-1,0,10,80,1.743
BDL-DHY,30,17:30-18:00,0.001,3,0,10,80,1.749
BDL-DHY,30,18:00-18:30,0.0001,2,0,100,37,1.012
BDL-DHY,30,18:00-18:30,0.001,0,1,100,37,1.032
BDL-DHY,30,18:00-18:30,0.0005,2,1,100,37,1.034
BDL-DHY,30,18:00-18:30,0.0001,0,1,10,37,1.037
BDL-DHY,30,18:00-18:30,0.005,0,0,10,37,1.059
BDL-DHY,30,18:00-18:30,0.005,0,0,1000,37,1.068
BDL-DHY,30,18:00-18:30,0.0001,2,0,100,37,1.076
BDL-DHY,30,18:00-18:30,0.005,0,0,1,37,1.129
BDL-DHY,30,18:30-19:00,0.0005,0,0,1000,72,0.761
BDL-DHY,30,18:30-19:00,0.0005,0,0,1000,72,0.786
BDL-DHY,30,18:30-19:00,0.0005,0,1,100,72,0.786
BDL-DHY,30,18:30-19:00,0.005,0,0,1000,72,0.793
BDL-DHY,30,18:30-19:00,0.0001,-1,0,100,72,0.847
BDL-DHY,30,18:30-19:00,0.005,2,1,100,72,0.848
BDL-DHY,30,18:30-19:00,0.0001,2,1,100,72,0.866
BDL-DHY,30,18:30-19:00,0.001,2,1,1000,72,0.874
BDL-DHY,30,19:00-19:30,0.001,0,1,1000,59,1.004
BDL-DHY,30,19:00-19:30,0.0005,2,0,1000,59,1.007
BDL-DHY,30,19:00-19:30,0.0001,0,1,1000,59,1.018
BDL-DHY,30,19:00-19:30,0.0005,2,1,10,59,1.022
BDL-DHY,30,19:00-19:30,0.0005,0,1,0,59,1.049
BDL-DHY,30,19:00-19:30,0.0001,0,1,-1,59,1.052
BDL-DHY,30,19:00-19:30,0.0001,2,0,10,59,1.062
BDL-DHY,30,19:00-19:30,0.0005,2,1,1,59,1.12
BDL-DHY,30,19:30-20:00,0.0001,0,0,1000,410,0.585
BDL-DHY,30,19:30-20:00,0.0001,0,0,100,410,0.592
BDL-DHY,30,19:30-20:00,0.001,1,0,10,410,0.611
BDL-DHY,30,19:30-20:00,0.001,-1,0,100,410,0.616
BDL-DHY,30,19:30-20:00,0.0005,0,0,1000,410,0.628
BDL-DHY,30,19:30-20:00,0.005,-1,1,1000,410,0.631
BDL-DHY,30,19:30-20:00,0.0001,3,1,1000,410,0.654
BDL-DHY,30,19:30-20:00,0.001,3,1,100,410,0.664
BDL-DHY,30,20:00-20:30,0.0005,0,0,100,95,0.522
BDL-DHY,30,20:00-20:30,0.0005,0,1,1000,95,0.53
BDL-DHY,30,20:00-20:30,0.005,0,0,100,95,0.539
BDL-DHY,30,20:00-20:30,0.005,-1,0,1000,95,0.543
BDL-DHY,30,20:00-20:30,0.001,2,0,10,95,0.547
BDL-DHY,30,20:00-20:30,0.001,-1,0,10,95,0.549
BDL-DHY,30,20:00-20:30,0.0005,-1,0,10,95,0.552
BDL-DHY,30,20:00-20:30,0.0001,0,1,100,95,0.554
BDL-DHY,30,20:30-21:00,0.0001,0,1,10,18,0.455
BDL-DHY,30,20:30-21:00,0.001,0,1,100,18,0.455
BDL-DHY,30,20:30-21:00,0.0001,0,0,10,18,0.455
BDL-DHY,30,20:30-21:00,0.001,0,0,1,18,0.455
BDL-DHY,30,20:30-21:00,0.0001,0,0,100,18,0.458
BDL-DHY,30,20:30-21:00,0.0001,0,1,1000,18,0.459
BDL-DHY,30,20:30-21:00,0.0001,-1,1,1,18,0.46
BDL-DHY,30,20:30-21:00,0.0005,-1,0,1000,18,0.46
BDL-DHY,30,21:00-21:30,0.0001,1,0,10,31,0.406
BDL-DHY,30,21:00-21:30,0.001,-1,1,1000,31,0.407
BDL-DHY,30,21:00-21:30,0.0001,2,0,1000,31,0.409
BDL-DHY,30,21:00-21:30,0.0005,-1,1,10,31,0.41
BDL-DHY,30,21:00-21:30,0.0001,-1,1,100,31,0.411
BDL-DHY,30,21:00-21:30,0.0005,2,0,10,31,0.413
BDL-DHY,30,21:00-21:30,0.0005,2,0,100,31,0.413
BDL-DHY,30,21:00-21:30,0.0001,1,0,1000,31,0.414
BDL-DHY,30,07:30-08:00,0.5,0,3,100,64,14.618
BDL-DHY,30,07:30-08:00,0.1,-1,2,100,64,14.701
BDL-DHY,30,07:30-08:00,0.005,0,1,10,64,16.044
BDL-DHY,30,07:30-08:00,0.0005,0,1,10,64,16.22
BDL-DHY,30,07:30-08:00,0.0005,0,1,0,64,16.41
BDL-DHY,30,07:30-08:00,0.0001,0,0,-1,64,16.571
BDL-DHY,30,07:30-08:00,0.1,0,1,10,64,17.082
BDL-DHY,30,07:30-08:00,0.001,0,1,1,64,17.234
BDL-DHY,30,21:30-22:00,0.005,2,1,-1,37,0.408
BDL-DHY,30,21:30-22:00,0.0005,-1,0,-1,37,0.41
BDL-DHY,30,21:30-22:00,0.005,2,0,0,37,0.411
BDL-DHY,30,21:30-22:00,0.0001,2,1,0,37,0.411
BDL-DHY,30,21:30-22:00,0.001,-1,0,0,37,0.413
BDL-DHY,30,21:30-22:00,0.0005,1,0,-1,37,0.414
BDL-DHY,30,21:30-22:00,0.0005,-1,0,0,37,0.426
BDL-DHY,30,21:30-22:00,0.005,-1,1,1,37,0.427
BDL-DHY,30,22:00-22:30,0.001,3,0,100,48,0.38
BDL-DHY,30,22:00-22:30,0.001,1,1,100,48,0.381
BDL-DHY,30,22:00-22:30,0.001,-1,1,100,48,0.381
BDL-DHY,30,22:00-22:30,0.0005,0,0,100,48,0.381
BDL-DHY,30,22:00-22:30,0.005,-1,1,1000,48,0.381
BDL-DHY,30,22:00-22:30,0.005,1,0,1000,48,0.382
BDL-DHY,30,22:00-22:30,0.005,0,0,100,48,0.383
BDL-DHY,30,22:00-22:30,0.001,3,0,100,48,0.384
BJB-QHZ,30,06:00-06:30,0.1,0,0,1,0,14.238
BJB-QHZ,30,06:00-06:30,0.001,0,1,1,0,14.522
BJB-QHZ,30,06:00-06:30,0.0001,0,1,1,0,14.56
BJB-QHZ,30,06:00-06:30,0.0001,0,1,10,0,14.679
BJB-QHZ,30,06:00-06:30,0.005,0,0,-1,0,14.91
BJB-QHZ,30,06:00-06:30,0.0005,0,0,1,0,14.956
BJB-QHZ,30,06:00-06:30,0.5,0,1,1,0,14.972
BJB-QHZ,30,06:00-06:30,0.0001,1,1,1,0,15.134
BJB-QHZ,30,08:00-08:30,0.001,0,1,-1,0,12.315
BJB-QHZ,30,08:00-08:30,0.005,0,1,1,0,12.36
BJB-QHZ,30,08:00-08:30,0.05,0,1,1,0,13.279
BJB-QHZ,30,08:00-08:30,0.0001,0,0,1000,0,13.68
BJB-QHZ,30,08:00-08:30,0.001,-1,1,1000,0,13.717
BJB-QHZ,30,08:00-08:30,0.005,0,1,100,0,13.722
BJB-QHZ,30,08:00-08:30,0.0005,1,0,100,0,13.733
BJB-QHZ,30,08:00-08:30,0.0001,2,1,100,0,13.738
BJB-QHZ,30,08:30-09:00,0.0001,0,1,-1,44,14.772
BJB-QHZ,30,08:30-09:00,0.0001,0,0,10,44,15.024
BJB-QHZ,30,08:30-09:00,0.1,0,0,1,44,15.44
BJB-QHZ,30,08:30-09:00,0.0005,2,0,1,44,16.645
BJB-QHZ,30,08:30-09:00,0.0001,-1,0,0,44,16.781
BJB-QHZ,30,08:30-09:00,0.0005,-1,1,-1,44,16.823
BJB-QHZ,30,08:30-09:00,0.01,1,0,-1,44,16.832
BJB-QHZ,30,08:30-09:00,0.001,-1,0,-1,44,16.857
BJB-QHZ,30,09:00-09:30,0.005,0,1,0,15,12.738
BJB-QHZ,30,09:00-09:30,0.0005,0,1,1,15,12.889
BJB-QHZ,30,09:00-09:30,0.0001,0,1,1,15,12.892
BJB-QHZ,30,09:00-09:30,0.001,0,1,10,15,13.05
BJB-QHZ,30,09:00-09:30,0.5,0,0,1,15,13.77
BJB-QHZ,30,09:00-09:30,0.5,0,1,-1,15,13.782
BJB-QHZ,30,09:00-09:30,0.5,0,0,0,15,13.788
BJB-QHZ,30,09:00-09:30,0.5,0,1,10,15,13.98
BJB-QHZ,30,09:30-10:00,0.001,0,0,10,22,12.442
BJB-QHZ,30,09:30-10:00,0.0005,0,1,0,22,12.641
BJB-QHZ,30,09:30-10:00,0.05,0,1,0,22,13.096
BJB-QHZ,30,09:30-10:00,0.5,0,0,-1,22,13.108
BJB-QHZ,30,09:30-10:00,0.5,0,1,10,22,13.411
BJB-QHZ,30,09:30-10:00,0.0005,1,0,1000,22,13.766
BJB-QHZ,30,09:30-10:00,0.0005,-1,0,1000,22,13.789
BJB-QHZ,30,09:30-10:00,0.005,2,1,100,22,13.792
BJB-QHZ,30,10:00-10:30,0.005,0,1,1,11,11.158
BJB-QHZ,30,10:00-10:30,0.0001,0,1,1,11,11.18
BJB-QHZ,30,10:00-10:30,0.001,0,0,-1,11,11.311
BJB-QHZ,30,10:00-10:30,0.01,0,1,-1,11,11.353
BJB-QHZ,30,10:00-10:30,0.5,0,1,1,11,11.72
BJB-QHZ,30,10:00-10:30,0.5,0,0,1,11,11.736
BJB-QHZ,30,10:00-10:30,0.001,1,1,-1,11,13.035
BJB-QHZ,30,10:00-10:30,0.01,1,0,10,11,13.11
BJB-QHZ,30,10:30-11:00,0.01,0,0,10,23,9.976
BJB-QHZ,30,10:30-11:00,0.5,1,2,100,23,10.017
BJB-QHZ,30,10:30-11:00,0.1,1,2,1000,23,10.026
BJB-QHZ,30,10:30-11:00,0.05,-1,2,100,23,10.054
BJB-QHZ,30,10:30-11:00,0.5,1,3,1000,23,10.067
BJB-QHZ,30,10:30-11:00,0.05,2,2,1000,23,10.098
BJB-QHZ,30,10:30-11:00,0.0001,0,0,1,23,10.616
BJB-QHZ,30,10:30-11:00,0.5,0,1,10,23,10.623
BJB-QHZ,30,11:00-11:30,0.005,0,1,0,16,8.864
BJB-QHZ,30,11:00-11:30,0.0005,0,0,10,16,8.938
BJB-QHZ,30,11:00-11:30,0.01,0,0,-1,16,8.978
BJB-QHZ,30,11:00-11:30,0.5,0,1,0,16,9.441
BJB-QHZ,30,11:00-11:30,0.0005,0,0,1,16,9.505
BJB-QHZ,30,11:00-11:30,0.5,0,0,0,16,9.512
BJB-QHZ,30,11:00-11:30,0.05,0,0,-1,16,9.521
BJB-QHZ,30,11:00-11:30,0.0001,0,1,1000,16,10.203
BJB-QHZ,30,06:30-07:00,0.001,0,1,-1,0,13.365
BJB-QHZ,30,06:30-07:00,0.005,0,0,1,0,13.391
BJB-QHZ,30,06:30-07:00,0.001,0,1,-1,0,14.02
BJB-QHZ,30,06:30-07:00,0.5,0,1,-1,0,14.128
BJB-QHZ,30,06:30-07:00,0.0001,0,1,1,0,14.194
BJB-QHZ,30,06:30-07:00,0.05,0,1,0,0,14.196
BJB-QHZ,30,06:30-07:00,0.001,-1,1,1,0,14.758
BJB-QHZ,30,06:30-07:00,0.0005,1,1,-1,0,14.812
BJB-QHZ,30,11:30-12:00,0.0005,1,1,1000,0,7.072
BJB-QHZ,30,11:30-12:00,0.005,-1,0,1000,0,7.077
BJB-QHZ,30,11:30-12:00,0.005,2,0,1000,0,7.081
BJB-QHZ,30,11:30-12:00,0.0005,1,1,1000,0,7.086
BJB-QHZ,30,11:30-12:00,0.0005,2,0,100,0,7.096
BJB-QHZ,30,11:30-12:00,0.0001,2,1,100,0,7.097
BJB-QHZ,30,11:30-12:00,0.005,1,1,100,0,7.103
BJB-QHZ,30,11:30-12:00,0.001,2,1,1000,0,7.112
BJB-QHZ,30,12:00-12:30,0.0001,0,1,1000,3,5.823
BJB-QHZ,30,12:00-12:30,0.0005,2,0,100,3,5.825
BJB-QHZ,30,12:00-12:30,0.005,-1,1,1000,3,5.832
BJB-QHZ,30,12:00-12:30,0.0005,2,1,100,3,5.84
BJB-QHZ,30,12:00-12:30,0.0005,0,1,100,3,5.848
BJB-QHZ,30,12:00-12:30,0.005,0,1,100,3,5.85
BJB-QHZ,30,12:00-12:30,0.0005,-1,0,1000,3,5.862
BJB-QHZ,30,12:00-12:30,0.005,-1,0,1000,3,5.864
BJB-QHZ,30,12:30-13:00,0.0001,0,0,1,31,5.849
BJB-QHZ,30,12:30-13:00,0.005,0,1,100,31,6.01
BJB-QHZ,30,12:30-13:00,0.0001,1,1,1000,31,6.054
BJB-QHZ,30,12:30-13:00,0.001,1,1,1000,31,6.064
BJB-QHZ,30,12:30-13:00,0.0001,0,0,1,31,6.143
BJB-QHZ,30,12:30-13:00,0.005,0,0,10,31,6.169
BJB-QHZ,30,12:30-13:00,0.005,2,2,100,31,6.566
BJB-QHZ,30,12:30-13:00,0.01,1,2,1000,31,6.653
BJB-QHZ,30,13:00-13:30,0.001,0,1,100,29,3.41
BJB-QHZ,30,13:00-13:30,0.005,-1,0,1000,29,3.414
BJB-QHZ,30,13:00-13:30,0.0005,2,0,100,29,3.416
BJB-QHZ,30,13:00-13:30,0.0005,-1,1,100,29,3.416
BJB-QHZ,30,13:00-13:30,0.0005,2,1,100,29,3.418
BJB-QHZ,30,13:00-13:30,0.001,0,0,100,29,3.428
BJB-QHZ,30,13:00-13:30,0.005,2,1,100,29,3.43
BJB-QHZ,30,13:00-13:30,0.005,2,1,100,29,3.432
BJB-QHZ,30,13:30-14:00,0.005,1,1,100,21,3.088
BJB-QHZ,30,13:30-14:00,0.005,2,1,100,21,3.091
BJB-QHZ,30,13:30-14:00,0.0005,1,0,100,21,3.104
BJB-QHZ,30,13:30-14:00,0.0001,0,1,100,21,3.108
BJB-QHZ,30,13:30-14:00,0.001,0,1,100,21,3.111
BJB-QHZ,30,13:30-14:00,0.01,1,0,1000,21,3.196
BJB-QHZ,30,13:30-14:00,0.01,-1,0,100,21,3.201
BJB-QHZ,30,13:30-14:00,0.01,2,1,1000,21,3.238
BJB-QHZ,30,14:00-14:30,0.0005,0,1,1000,1.00E+100,3.657
BJB-QHZ,30,14:00-14:30,0.001,1,0,100,1.00E+100,3.663
BJB-QHZ,30,14:00-14:30,0.001,-1,0,100,1.00E+100,3.671
BJB-QHZ,30,14:00-14:30,0.0005,2,0,100,1.00E+100,3.675
BJB-QHZ,30,14:00-14:30,0.005,-1,0,1000,1.00E+100,3.677
BJB-QHZ,30,14:00-14:30,0.0005,1,1,1000,1.00E+100,3.683
BJB-QHZ,30,14:00-14:30,0.0005,0,1,100,1.00E+100,3.685
BJB-QHZ,30,14:00-14:30,0.005,0,0,1000,1.00E+100,3.722
BJB-QHZ,30,14:30-15:00,0.0001,-1,1,1000,0,2.368
BJB-QHZ,30,14:30-15:00,0.001,0,0,100,0,2.376
BJB-QHZ,30,14:30-15:00,0.0001,-1,1,1000,0,2.394
BJB-QHZ,30,14:30-15:00,0.0005,0,1,1000,0,2.396
BJB-QHZ,30,14:30-15:00,0.005,0,1,100,0,2.398
BJB-QHZ,30,14:30-15:00,0.0005,2,0,1000,0,2.422
BJB-QHZ,30,14:30-15:00,0.01,1,0,100,0,2.491
BJB-QHZ,30,14:30-15:00,0.01,2,1,100,0,2.525
BJB-QHZ,30,15:00-15:30,0.001,0,1,1000,0,2.054
